file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_MV0831_0191_1189031_to_1198717,ང་ད་དུང་གཅུང་པོ་གཅིག་ཡོད་རེད་བ། ཞན་ཡུས་ཁ་ལ་ཉན་པའི་སྒང་ལ་བསམ་ཤེས་ཐུབ་པ། བཤད་མི་དགོས།  ,nga da dung gcung po gcig yod red ba/_zhan yus kha la nyan pa'i sgang la bsam shes thub pa/_bshad mi dgos/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0831_0191_1189031_to_1198717.wav,STT_MV,2,85,9.686,wav16k/STT_MV0831_0191_1189031_to_1198717.wav,ང་ད་དུང་གཅུང་པོ་གཅིག་ཡོད་རེད་པ། ཞན་ཡུད་ཁ་ལ་ཉན་པའི་སྒང་ཞིག་ྱི་མི་དགོ།
STT_MV0831_0211_1331595_to_1338833,སྲས་སྐུ་ཤོགས་ཀིས་ཁྱེད་རང་ལ་བྱུ་རུའི་ཕྲེང་བ་ཉོ་རོགས་ཞུས་པ་མ་རེད་བེ། ད་གིན་ཁྱེད་རང་གི་ཞལ་ནས་གསུངས་སོང་བ།  ,sras sku shogs kis khyed rang la byu ru'i phreng ba nyo rogs zhus pa ma red be/_da gin khyed rang gi zhal nas gsungs song ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0831_0211_1331595_to_1338833.wav,STT_MV,2,104,7.238,wav16k/STT_MV0831_0211_1331595_to_1338833.wav,སྲས་སྐུ་ཤོགས་ཀིས་ཁྱེད་རང་ལ་བྱ་རུའ་ཕྲེང་བ་ཉོ་རོགས་ཞུས་པ་མ་རེད་པེ། ད་གིན་ཁྱེད་རང་ཞལ་ནས་གསུངས་སོང་ང་།
STT_MV0831_0212_1338833_to_1344596,ད་དུང་སྐྱག་རྫུན་བཤད་ཀ་བྱས། ང་དེ་རིང་ཉིན་གང་།  ,da dung skyag rdzun bshad ka byas/_nga de ring nyin gang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0831_0212_1338833_to_1344596.wav,STT_MV,2,46,5.763,wav16k/STT_MV0831_0212_1338833_to_1344596.wav,ད་དུང་སྐྱག་རྫུན་བཤད་ཀ་བྱས། ང་དེ་རིང་ཉིན་གར།
STT_MV0831_0213_1344596_to_1349007,སྨན་བཅོས་ཁང་ལ་ལས་ཀ་བྱས་བསྡད་པ་ཡིན། ལྕམས་ཆུང་སྐུ་ཤོགས་ལ་ཕྱག་ལས་མེད་ན་ལོག་ཐེད་རོགས།  ,sman bcos khang la las ka byas bsdad pa yin/_lcams chung sku shogs la phyag las med na log thed rogs/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0831_0213_1344596_to_1349007.wav,STT_MV,2,83,4.411,wav16k/STT_MV0831_0213_1344596_to_1349007.wav,སྨན་བཅོས་ཁང་ལ་ལས་ཀ་བྱེད་ཀི་བསྡད་པ་ཡིན། ལྕམ་ཆུང་སྐུ་ཤོགས་ལ་ཕྱག་ལས་མེད་ན་ལོག་ཐེད་རོགས།
STT_MV0831_0214_1349007_to_1355571,ཝང་ཧོས་ཀིས་རང་ལ་དངུལ་ག་ཚོད་སྤྲད་བྱུང་། ལགས།  ,wang hos kis rang la dngul ga tshod sprad byung /_lags/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0831_0214_1349007_to_1355571.wav,STT_MV,2,45,6.564,wav16k/STT_MV0831_0214_1349007_to_1355571.wav,ཝང་ཧོས་ཀིས་རང་ལ་དངུལ་ག་ཚད་སྤྲད་བྱུང་། ལགས།
STT_MV0831_0215_1355571_to_1365569,ཝང་ཧོས་རང་གི་པ་ཕ་མ་རེད། ངས་སྔ་སེ་ནས་ཧ་གོ་བྱུང་། རང་ཁོས་མི་གླ་བསྒྲིགས་པ་རེད།  ,wang hos rang gi pa pha ma red/_ngas snga se nas ha go byung /_rang khos mi gla bsgrigs pa red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0831_0215_1355571_to_1365569.wav,STT_MV,2,77,9.998,wav16k/STT_MV0831_0215_1355571_to_1365569.wav,ཝང་ཧོས་རང་གི་པ་ཕ་མ་རེད། ངས་སྔ་ས་ནས་ཧ་གོ་བྱུང་། རང་ཁོས་མི་ལག་སྒྲིག་པ་རེད།
STT_MV0831_0224_1437933_to_1439613,ཨོ་བུ་མོ་རང་ལ།  ,o bu mo rang la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0831_0224_1437933_to_1439613.wav,STT_MV,2,16,1.68,wav16k/STT_MV0831_0224_1437933_to_1439613.wav,བུ་མོ་རང་ལ་
STT_MV0831_0231_1469874_to_1479337,ངས་ག་བ་ཤེས་ཀི་རེད། དེ་འདྲས་ཁད་མཚར་ལ། ཁོང་གིས་མེའི་ཞན་རྫོས་ལ་ཡག་པོ་དེ་འདྲས་བྱེད་ཀིས། བར་འདུམ་བྱེད་ཡ་གི་ཆེད་དུ། བྱུ་རུའི་ཕྲེང་བ་རྩ་ཆེན་དེ་འདྲས་རྐྱང་གཏང་ཕོད་ཀིས།  ,ngas ga ba shes ki red/_de 'dras khad mtshar la/_khong gis me'i zhan rdzos la yag po de 'dras byed kis/_bar 'dum byed ya gi ched du/_byu ru'i phreng ba rtsa chen de 'dras rkyang gtang phod kis/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0831_0231_1469874_to_1479337.wav,STT_MV,2,160,9.463,wav16k/STT_MV0831_0231_1469874_to_1479337.wav,ངས་ག་བར་ཤེས་པི་རེད། དེ་འདྲས་ཁེ་བཟང་ལ། ཁོང་གིས་མེའི་ཞན་རྫོས་ལ་ཡག་པོ་དེ་འདྲས་བྱེད་ཀིས། ཕར་རྡུང་བྱེད་ཡ་གི་ཆེད་དུ་བྱི་རུའ་གྲན་གི་རྩ་ཆེན་དེ་འདྲས་ཀྱང་གཏང་དབོད་ཀིས།
STT_MV0831_0232_1479337_to_1485641,ཡིན་ནས་ང་མཐོང་པ་ད་ག པཱ་ལགས།  ,yin nas nga mthong pa da ga_pA lags/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0831_0232_1479337_to_1485641.wav,STT_MV,2,29,6.304,wav16k/STT_MV0831_0232_1479337_to_1485641.wav,ཡིན་ནས། ང་མཐོང་པ་ད་ག། པཱ་ལགས།
STT_MV0831_0251_1611680_to_1620099,འདི་ག་རེ་རེད། འབྲས་སིལ། རང་དགའ་ཤོས་བྱེད་ཡ་དེ། ཟས་བྱས་ཤི་ནས་སྡུག་གྱོང་བྱེད་རྒྱུ་དེ། ང་སྤྲད་བེ།  ,'di ga re red/_'bras sil/_rang dga' shos byed ya de/_zas byas shi nas sdug gyong byed rgyu de/_nga sprad be/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0831_0251_1611680_to_1620099.wav,STT_MV,2,95,8.419,wav16k/STT_MV0831_0251_1611680_to_1620099.wav,འདི་ག་རེ་རེད། འབྲས་སིལ་རང་དགའ་ཤོས་བྱེད་ཡ་དེ། བཟས་བྱས་ཤི་ནས་སྡུག་གྱོང་བྱེད་རྒྱུ་དེ། ང་སྤྲད་པེ།
STT_MV0831_0252_1620099_to_1624889,འོ་ཨོ། རང་ལ་རྙོག་དྲ་ཆེན་པོ་དེ་འདྲས་བཟོས་སོང་།  ,'o o/_rang la rnyog dra chen po de 'dras bzos song /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0831_0252_1620099_to_1624889.wav,STT_MV,2,47,4.79,wav16k/STT_MV0831_0252_1620099_to_1624889.wav,འོ་ཨོ། རང་ལ་རྙོག་དྲ་ཆེན་པོ་འདེ་འདྲས་བཟོས་སོང་།
STT_MV0831_0280_1839771_to_1841202,ད་གིན་ངས་ཁྱེད་རང་།  ,da gin ngas khyed rang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0831_0280_1839771_to_1841202.wav,STT_MV,2,20,1.431,wav16k/STT_MV0831_0280_1839771_to_1841202.wav,ད་གིན་ངས་ཁྱེད་རང་།
STT_MV0831_0289_1894495_to_1900187,ད་ལྟ་ག་རེ་བྱས་ནས་ཝང་ཞའོ་ཧུང་དང་ཉེས་པོ་བྱེད་རྒྱུ་མི་འདུག ,da lta ga re byas nas wang zha'o hung dang nyes po byed rgyu mi 'dug_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0831_0289_1894495_to_1900187.wav,STT_MV,2,56,5.692,wav16k/STT_MV0831_0289_1894495_to_1900187.wav,གང་ལྟར་ག་རེ་བཤད་ནས། ཝང་ཞའོ་ཧུང་དང་ཉེས་པ་བྱེད་རྒྱུ་མི་འདུག
STT_MV0831_0290_1900187_to_1906260,བུ་མོ་དེ་ཡག་ག་གཅིག་རེད་མི་འདུག ལ་སེ། རྗེས་མ་ནས་ངས་ཡ་ཁྱོན་ནས་བྱེད་ཀི་མིན།  ,bu mo de yag ga gcig red mi 'dug_la se/_rjes ma nas ngas ya khyon nas byed ki min/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0831_0290_1900187_to_1906260.wav,STT_MV,2,74,6.073,wav16k/STT_MV0831_0290_1900187_to_1906260.wav,བུ་མོ་དེ་ཡག་ག་གཅིག་རེད་མི་འདུག ལ་སེ། རྗེས་མ་ནས་ངས་ཡ་ཁྱོན་ནས་བྱེད་ཀི་མིན།
STT_MV0831_0291_1906260_to_1911300,ཨ།་ཨ་མ་ལགས། ཁྱེད་རང་གི་ནོར་བུ་དེ།  ,a/ a ma lags/_khyed rang gi nor bu de/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0831_0291_1906260_to_1911300.wav,STT_MV,2,35,5.04,wav16k/STT_MV0831_0291_1906260_to_1911300.wav,ཨ ཨ་མ་ལགས། ཁྱེད་རང་གི་ནོར་བུ་འདི།
STT_MV0831_0292_1911300_to_1921299,ཕར་བཞེས་རོགས་གནང་། ངས་ཕ་གིར་བཞག་ན་ཡང་ངས་བརླག་མི་ཡོང་བསམ་གིས། རང་ལ་སྤྲད་པ་ཡིན་ཟེར་ལབ་ཚར། ད་དངོས་གནས་ཡིན་པའི་ཁུལ་བྱེད་རྒྱུ་རེད། ཚུར་ལེན་ན་ག་འདྲས་སེ།  ,phar bzhes rogs gnang /_ngas pha gir bzhag na yang ngas brlag mi yong bsam gis/_rang la sprad pa yin zer lab tshar/_da dngos gnas yin pa'i khul byed rgyu red/_tshur len na ga 'dras se/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0831_0292_1911300_to_1921299.wav,STT_MV,2,148,9.999,wav16k/STT_MV0831_0292_1911300_to_1921299.wav,ཕར་བཞེས་རོགས་གནང་། ངས་ཕ་གིར་བཞག་ན་ ཡང་ངས་བརླང་མི་ཡོང་བསམ་གིས། རང་ལ་སྤྲད་པ་ཡིན་ཟེར་ལབ་ཚར། ད་དངོས་གནས་ཡིན་པའི་ཁོལ་བྱེད་རྒྱུ་རེད། ཚུར་ལེན་ན་ག་འདྲས་སེ།
STT_MV0831_0311_2033877_to_2039447,ངས་ད་དུང་ཁྱེད་རང་གཉིས་བཀའ་མོལ་གནང་པ་མཐོང་བྱུང་། ང་མཐོང་པ་ད་ག་ལམ་སང་གཡོལ་གནང་པ་ཡིན་བ།  ,ngas da dung khyed rang gnyis bka' mol gnang pa mthong byung /_nga mthong pa da ga lam sang g.yol gnang pa yin ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0831_0311_2033877_to_2039447.wav,STT_MV,2,86,5.57,wav16k/STT_MV0831_0311_2033877_to_2039447.wav,ངས་ད་དུང་ཁྱེད་རང་གཉིས་བཀའ་མོལ་གནང་པ་དེ་མཐོང་བྱུང་། ང་མཐོང་པ་ད་ག་ལམ་སང་གཡོལ་གནང་པ་ཡིན་པ།
STT_MV0831_0312_2039447_to_2048306,ངས་ཁོང་ལ་ཏོག་ཙི་བཤད་པ་ད་ག་ཁྱེད་རང་གིས་ང་གཞུ་ག་ཕེབས་ཀིས། ད་དུང་ངས་དོགས་པ་བྱེད་ཀིས་ཟེར། བུ་མོ་ད་རང་རྒྱུགས།  ,ngas khong la tog tsi bshad pa da ga khyed rang gis nga gzhu ga phebs kis/_da dung ngas dogs pa byed kis zer/_bu mo da rang rgyugs/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0831_0312_2039447_to_2048306.wav,STT_MV,2,106,8.859,wav16k/STT_MV0831_0312_2039447_to_2048306.wav,ངས་ཁོང་ལ་ཏོག་ཙི་བཤད་པ་ད་ག ཁྱེད་རང་གིས་ང་ཞུ་བ་ཕེབས་ཀིས། ད་དུང་ངས་མཐོན་པོ་བྱེད་ཀིས་ཟེར། བུ་མོ། ཏེ་ལའ་རྒྱུགས།
STT_MV0831_0313_2048306_to_2050670,ལོ་གསུམ་ལྷག་ཙི་རིང་།  ,lo gsum lhag tsi ring /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0831_0313_2048306_to_2050670.wav,STT_MV,2,22,2.364,wav16k/STT_MV0831_0313_2048306_to_2050670.wav,ལློབ་གསུམ་ལྷག་ཙི་རིང་།
STT_MV0831_0314_2050670_to_2054191,རང་གིས་ང་ཡི་གེ་མ་བཏང་ནས་ངས་འཁང་ར་བྱེད་མྱོང་མེད།  ,rang gis nga yi ge ma btang nas ngas 'khang ra byed myong med/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0831_0314_2050670_to_2054191.wav,STT_MV,2,49,3.521,wav16k/STT_MV0831_0314_2050670_to_2054191.wav,རང་གིས་ང་ཡི་གེ་མ་བདང་ནས་ངས་འཁང་ར་བྱེད་མྱོང་མེད།
STT_MV0831_0315_2054191_to_2063417,རང་ཕྱི་ལ་སྣང་དག་མེད་ཙང་ང་སེམས་ཁྲལ་མི་འདུག ད་རྒྱུགས། གཡུད་ཕིང་ནས་ཐོན་རྒྱུགས། ང་པུད་གནང་ཡ་ག་རེ་རེད།  ,rang phyi la snang dag med tsang nga sems khral mi 'dug_da rgyugs/_g.yud phing nas thon rgyugs/_nga pud gnang ya ga re red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0831_0315_2054191_to_2063417.wav,STT_MV,2,99,9.226,wav16k/STT_MV0831_0315_2054191_to_2063417.wav,རང་ཕྱི་ལ་སྣང་དག་མེད་ཙང་ང་སེམས་ཁྲལ་མི་འདུག ད་རྒྱུག། གཡུད་ཕིང་ནས་ཐོན་རྒྱུགས། ང་ཕུད་གནང་ཡ་ག་རེ་རེད།
STT_MV0831_0331_2164889_to_2171083,ཞལ་ནས་མཁས་པོ་གསུང་མ་ཤེས་པ་དེ་འདྲས། ཕ་བུ་དེ་གཉིས་ག་རེའི་ལས་ཡིན་ན།  ,zhal nas mkhas po gsung ma shes pa de 'dras/_pha bu de gnyis ga re'i las yin na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0831_0331_2164889_to_2171083.wav,STT_MV,2,66,6.194,wav16k/STT_MV0831_0331_2164889_to_2171083.wav,བཤད་ནས་མཁས་པོ་གསུང་མ་ཤེས་པ་དེ་འདྲས། ཕ་བུ་འདི་གཉི་ག་རེའི་ལས་ཡིན་ན།
STT_MV0831_0332_2171083_to_2177983,ཨའོ། བྱས་ན་རང་སྲུངས་ཤིག ལ་སེ།  ,a'o/_byas na rang srungs shig_la se/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0831_0332_2171083_to_2177983.wav,STT_MV,2,31,6.9,wav16k/STT_MV0831_0332_2171083_to_2177983.wav,བྱས་ན་རང་སྲུང་ཤིག ལ་སེ།
STT_MV0831_0333_2177983_to_2184519,ཧེ་ཧེ། ཕེབས་ད། ཧ།  ,he he/_phebs da/_ha/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0831_0333_2177983_to_2184519.wav,STT_MV,2,19,6.536,wav16k/STT_MV0831_0333_2177983_to_2184519.wav,ཕེབས་ད།
STT_MV0831_0334_2184519_to_2193602,སྦུག་ལ་ཕེབས་ད། ཧེ་ཧེ། འདི་ཡར་ཕེབས་ད། འེམ། ཨཧ།  ,sbug la phebs da/_he he/_'di yar phebs da/_'em/_aha/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0831_0334_2184519_to_2193602.wav,STT_MV,2,47,9.083,wav16k/STT_MV0831_0334_2184519_to_2193602.wav,སྦུག་ལ་ཕེབས་ད། ཧཡར་ཕེབས་ད། ཧ་ཧ
STT_MV0831_0351_2322690_to_2331721,ཧེ་ཧེ་ཧེ་ཧེ། དམག་སྤྱི་ལགས་ཕྱི་ལ་ཐེད་ཀེ། དམག་སྤྱི་ལགས། ག་བ་ཐེད་ཀ་ལགས། ཇ་ཁང་ལ། ལའོ་ཆིང་ཇ་ཁང་ལ། མགྱོགས་སེ་གྱིས།  ,he he he he/_dmag spyi lags phyi la thed ke/_dmag spyi lags/_ga ba thed ka lags/_ja khang la/_la'o ching ja khang la/_mgyogs se gyis/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0831_0351_2322690_to_2331721.wav,STT_MV,2,110,9.031,wav16k/STT_MV0831_0351_2322690_to_2331721.wav,ཧ་ཧཧ་ཧ། དམག་སྤྱི་ལགས་ཕྱི་ལ་ཐེད་ཀེ། དམག་སྤྱི་ལགས། ག་བར་ཐེད་ཀ་ལ། ཇ་ཁང་ལ་ཟལོ་ྱི་ཞག་ག་ལ། མགྱོགས་སེ་གྱིས།
